Epoch #,Start Time,End Time,Score #, Score
166,06/08/2021 11:02:13,06/08/2021 11:02:16,2,Non REM
167,06/08/2021 11:02:16,06/08/2021 11:02:19,2,Non REM
168,06/08/2021 11:02:19,06/08/2021 11:02:22,2,Non REM
169,06/08/2021 11:02:22,06/08/2021 11:02:25,2,Non REM
170,06/08/2021 11:02:25,06/08/2021 11:02:28,2,Non REM
171,06/08/2021 11:02:28,06/08/2021 11:02:31,2,Non REM
172,06/08/2021 11:02:31,06/08/2021 11:02:34,2,Non REM
173,06/08/2021 11:02:34,06/08/2021 11:02:37,2,Non REM
174,06/08/2021 11:02:37,06/08/2021 11:02:40,2,Non REM
175,06/08/2021 11:02:40,06/08/2021 11:02:43,2,Non REM
176,06/08/2021 11:02:43,06/08/2021 11:02:46,2,Non REM
177,06/08/2021 11:02:46,06/08/2021 11:02:49,2,Non REM
178,06/08/2021 11:02:49,06/08/2021 11:02:52,2,Non REM
179,06/08/2021 11:02:52,06/08/2021 11:02:55,2,Non REM
180,06/08/2021 11:02:55,06/08/2021 11:02:58,2,Non REM
181,06/08/2021 11:02:58,06/08/2021 11:03:01,2,Non REM
182,06/08/2021 11:03:01,06/08/2021 11:03:04,2,Non REM
183,06/08/2021 11:03:04,06/08/2021 11:03:07,2,Non REM
184,06/08/2021 11:03:07,06/08/2021 11:03:10,2,Non REM
185,06/08/2021 11:03:10,06/08/2021 11:03:13,2,Non REM
186,06/08/2021 11:03:13,06/08/2021 11:03:16,2,Non REM
187,06/08/2021 11:03:16,06/08/2021 11:03:19,2,Non REM
188,06/08/2021 11:03:19,06/08/2021 11:03:22,2,Non REM
189,06/08/2021 11:03:22,06/08/2021 11:03:25,2,Non REM
190,06/08/2021 11:03:25,06/08/2021 11:03:28,2,Non REM
191,06/08/2021 11:03:28,06/08/2021 11:03:31,2,Non REM
192,06/08/2021 11:03:31,06/08/2021 11:03:34,2,Non REM
193,06/08/2021 11:03:34,06/08/2021 11:03:37,2,Non REM
194,06/08/2021 11:03:37,06/08/2021 11:03:40,2,Non REM
195,06/08/2021 11:03:40,06/08/2021 11:03:43,2,Non REM
196,06/08/2021 11:03:43,06/08/2021 11:03:46,2,Non REM
197,06/08/2021 11:03:46,06/08/2021 11:03:49,2,Non REM
198,06/08/2021 11:03:49,06/08/2021 11:03:52,2,Non REM
199,06/08/2021 11:03:52,06/08/2021 11:03:55,2,Non REM
200,06/08/2021 11:03:55,06/08/2021 11:03:58,2,Non REM
201,06/08/2021 11:03:58,06/08/2021 11:04:01,1,Wake
202,06/08/2021 11:04:01,06/08/2021 11:04:04,1,Wake
203,06/08/2021 11:04:04,06/08/2021 11:04:07,2,Non REM
204,06/08/2021 11:04:07,06/08/2021 11:04:10,2,Non REM
205,06/08/2021 11:04:10,06/08/2021 11:04:13,2,Non REM
206,06/08/2021 11:04:13,06/08/2021 11:04:16,2,Non REM
207,06/08/2021 11:04:16,06/08/2021 11:04:19,2,Non REM
208,06/08/2021 11:04:19,06/08/2021 11:04:22,2,Non REM
209,06/08/2021 11:04:22,06/08/2021 11:04:25,2,Non REM
210,06/08/2021 11:04:25,06/08/2021 11:04:28,2,Non REM
211,06/08/2021 11:04:28,06/08/2021 11:04:31,2,Non REM
212,06/08/2021 11:04:31,06/08/2021 11:04:34,2,Non REM
213,06/08/2021 11:04:34,06/08/2021 11:04:37,2,Non REM
214,06/08/2021 11:04:37,06/08/2021 11:04:40,2,Non REM
215,06/08/2021 11:04:40,06/08/2021 11:04:43,2,Non REM
216,06/08/2021 11:04:43,06/08/2021 11:04:46,2,Non REM
217,06/08/2021 11:04:46,06/08/2021 11:04:49,2,Non REM
218,06/08/2021 11:04:49,06/08/2021 11:04:52,2,Non REM
219,06/08/2021 11:04:52,06/08/2021 11:04:55,2,Non REM
220,06/08/2021 11:04:55,06/08/2021 11:04:58,2,Non REM
221,06/08/2021 11:04:58,06/08/2021 11:05:01,2,Non REM
222,06/08/2021 11:05:01,06/08/2021 11:05:04,2,Non REM
223,06/08/2021 11:05:04,06/08/2021 11:05:07,2,Non REM
224,06/08/2021 11:05:07,06/08/2021 11:05:10,2,Non REM
225,06/08/2021 11:05:10,06/08/2021 11:05:13,2,Non REM
226,06/08/2021 11:05:13,06/08/2021 11:05:16,2,Non REM
227,06/08/2021 11:05:16,06/08/2021 11:05:19,2,Non REM
228,06/08/2021 11:05:19,06/08/2021 11:05:22,2,Non REM
229,06/08/2021 11:05:22,06/08/2021 11:05:25,2,Non REM
230,06/08/2021 11:05:25,06/08/2021 11:05:28,2,Non REM
231,06/08/2021 11:05:28,06/08/2021 11:05:31,2,Non REM
232,06/08/2021 11:05:31,06/08/2021 11:05:34,2,Non REM
233,06/08/2021 11:05:34,06/08/2021 11:05:37,2,Non REM
234,06/08/2021 11:05:37,06/08/2021 11:05:40,2,Non REM
235,06/08/2021 11:05:40,06/08/2021 11:05:43,1,Wake
236,06/08/2021 11:05:43,06/08/2021 11:05:46,1,Wake
237,06/08/2021 11:05:46,06/08/2021 11:05:49,1,Wake
238,06/08/2021 11:05:49,06/08/2021 11:05:52,1,Wake
239,06/08/2021 11:05:52,06/08/2021 11:05:55,2,Non REM
240,06/08/2021 11:05:55,06/08/2021 11:05:58,1,Wake
241,06/08/2021 11:05:58,06/08/2021 11:06:01,1,Wake
242,06/08/2021 11:06:01,06/08/2021 11:06:04,2,Non REM
243,06/08/2021 11:06:04,06/08/2021 11:06:07,2,Non REM
244,06/08/2021 11:06:07,06/08/2021 11:06:10,2,Non REM
245,06/08/2021 11:06:10,06/08/2021 11:06:13,2,Non REM
246,06/08/2021 11:06:13,06/08/2021 11:06:16,2,Non REM
247,06/08/2021 11:06:16,06/08/2021 11:06:19,2,Non REM
248,06/08/2021 11:06:19,06/08/2021 11:06:22,2,Non REM
249,06/08/2021 11:06:22,06/08/2021 11:06:25,2,Non REM
250,06/08/2021 11:06:25,06/08/2021 11:06:28,2,Non REM
251,06/08/2021 11:06:28,06/08/2021 11:06:31,2,Non REM
252,06/08/2021 11:06:31,06/08/2021 11:06:34,2,Non REM
253,06/08/2021 11:06:34,06/08/2021 11:06:37,2,Non REM
254,06/08/2021 11:06:37,06/08/2021 11:06:40,2,Non REM
255,06/08/2021 11:06:40,06/08/2021 11:06:43,2,Non REM
256,06/08/2021 11:06:43,06/08/2021 11:06:46,2,Non REM
257,06/08/2021 11:06:46,06/08/2021 11:06:49,2,Non REM
258,06/08/2021 11:06:49,06/08/2021 11:06:52,2,Non REM
259,06/08/2021 11:06:52,06/08/2021 11:06:55,1,Wake
260,06/08/2021 11:06:55,06/08/2021 11:06:58,1,Wake
261,06/08/2021 11:06:58,06/08/2021 11:07:01,1,Wake
262,06/08/2021 11:07:01,06/08/2021 11:07:04,1,Wake
263,06/08/2021 11:07:04,06/08/2021 11:07:07,2,Non REM
264,06/08/2021 11:07:07,06/08/2021 11:07:10,2,Non REM
265,06/08/2021 11:07:10,06/08/2021 11:07:13,2,Non REM
266,06/08/2021 11:07:13,06/08/2021 11:07:16,2,Non REM
267,06/08/2021 11:07:16,06/08/2021 11:07:19,2,Non REM
268,06/08/2021 11:07:19,06/08/2021 11:07:22,2,Non REM
269,06/08/2021 11:07:22,06/08/2021 11:07:25,2,Non REM
270,06/08/2021 11:07:25,06/08/2021 11:07:28,2,Non REM
271,06/08/2021 11:07:28,06/08/2021 11:07:31,2,Non REM
272,06/08/2021 11:07:31,06/08/2021 11:07:34,2,Non REM
273,06/08/2021 11:07:34,06/08/2021 11:07:37,2,Non REM
274,06/08/2021 11:07:37,06/08/2021 11:07:40,2,Non REM
275,06/08/2021 11:07:40,06/08/2021 11:07:43,2,Non REM
276,06/08/2021 11:07:43,06/08/2021 11:07:46,2,Non REM
277,06/08/2021 11:07:46,06/08/2021 11:07:49,2,Non REM
278,06/08/2021 11:07:49,06/08/2021 11:07:52,2,Non REM
279,06/08/2021 11:07:52,06/08/2021 11:07:55,2,Non REM
280,06/08/2021 11:07:55,06/08/2021 11:07:58,2,Non REM
281,06/08/2021 11:07:58,06/08/2021 11:08:01,2,Non REM
282,06/08/2021 11:08:01,06/08/2021 11:08:04,2,Non REM
283,06/08/2021 11:08:04,06/08/2021 11:08:07,2,Non REM
284,06/08/2021 11:08:07,06/08/2021 11:08:10,2,Non REM
285,06/08/2021 11:08:10,06/08/2021 11:08:13,2,Non REM
286,06/08/2021 11:08:13,06/08/2021 11:08:16,2,Non REM
287,06/08/2021 11:08:16,06/08/2021 11:08:19,2,Non REM
288,06/08/2021 11:08:19,06/08/2021 11:08:22,2,Non REM
289,06/08/2021 11:08:22,06/08/2021 11:08:25,2,Non REM
290,06/08/2021 11:08:25,06/08/2021 11:08:28,2,Non REM
291,06/08/2021 11:08:28,06/08/2021 11:08:31,2,Non REM
292,06/08/2021 11:08:31,06/08/2021 11:08:34,2,Non REM
293,06/08/2021 11:08:34,06/08/2021 11:08:37,2,Non REM
294,06/08/2021 11:08:37,06/08/2021 11:08:40,2,Non REM
295,06/08/2021 11:08:40,06/08/2021 11:08:43,2,Non REM
296,06/08/2021 11:08:43,06/08/2021 11:08:46,2,Non REM
297,06/08/2021 11:08:46,06/08/2021 11:08:49,2,Non REM
298,06/08/2021 11:08:49,06/08/2021 11:08:52,2,Non REM
299,06/08/2021 11:08:52,06/08/2021 11:08:55,2,Non REM
300,06/08/2021 11:08:55,06/08/2021 11:08:58,2,Non REM
301,06/08/2021 11:08:58,06/08/2021 11:09:01,2,Non REM
302,06/08/2021 11:09:01,06/08/2021 11:09:04,2,Non REM
303,06/08/2021 11:09:04,06/08/2021 11:09:07,2,Non REM
304,06/08/2021 11:09:07,06/08/2021 11:09:10,2,Non REM
305,06/08/2021 11:09:10,06/08/2021 11:09:13,2,Non REM
306,06/08/2021 11:09:13,06/08/2021 11:09:16,2,Non REM
307,06/08/2021 11:09:16,06/08/2021 11:09:19,2,Non REM
308,06/08/2021 11:09:19,06/08/2021 11:09:22,2,Non REM
309,06/08/2021 11:09:22,06/08/2021 11:09:25,2,Non REM
310,06/08/2021 11:09:25,06/08/2021 11:09:28,2,Non REM
311,06/08/2021 11:09:28,06/08/2021 11:09:31,2,Non REM
312,06/08/2021 11:09:31,06/08/2021 11:09:34,2,Non REM
313,06/08/2021 11:09:34,06/08/2021 11:09:37,2,Non REM
314,06/08/2021 11:09:37,06/08/2021 11:09:40,2,Non REM
315,06/08/2021 11:09:40,06/08/2021 11:09:43,2,Non REM
316,06/08/2021 11:09:43,06/08/2021 11:09:46,2,Non REM
317,06/08/2021 11:09:46,06/08/2021 11:09:49,2,Non REM
318,06/08/2021 11:09:49,06/08/2021 11:09:52,1,Wake
319,06/08/2021 11:09:52,06/08/2021 11:09:55,1,Wake
320,06/08/2021 11:09:55,06/08/2021 11:09:58,1,Wake
321,06/08/2021 11:09:58,06/08/2021 11:10:01,1,Wake
322,06/08/2021 11:10:01,06/08/2021 11:10:04,1,Wake
323,06/08/2021 11:10:04,06/08/2021 11:10:07,1,Wake
324,06/08/2021 11:10:07,06/08/2021 11:10:10,1,Wake
325,06/08/2021 11:10:10,06/08/2021 11:10:13,1,Wake
326,06/08/2021 11:10:13,06/08/2021 11:10:16,1,Wake
327,06/08/2021 11:10:16,06/08/2021 11:10:19,1,Wake
328,06/08/2021 11:10:19,06/08/2021 11:10:22,1,Wake
329,06/08/2021 11:10:22,06/08/2021 11:10:25,1,Wake
330,06/08/2021 11:10:25,06/08/2021 11:10:28,1,Wake
331,06/08/2021 11:10:28,06/08/2021 11:10:31,1,Wake
332,06/08/2021 11:10:31,06/08/2021 11:10:34,1,Wake
333,06/08/2021 11:10:34,06/08/2021 11:10:37,1,Wake
334,06/08/2021 11:10:37,06/08/2021 11:10:40,1,Wake
335,06/08/2021 11:10:40,06/08/2021 11:10:43,1,Wake
